Step,True(ns),Manual(ns),GA(ns),RMSE_M,RMSE_G
1,52.2212,52.2160,52.2212,0.0052,0.0000
2,50.6671,51.1848,50.6673,0.3661,0.0001
3,53.8862,52.8157,52.9654,0.6865,0.5316
4,54.7078,54.2081,54.2463,0.6449,0.5150
5,57.8200,56.6345,56.5713,0.7835,0.7239
6,57.8661,57.9427,57.7749,0.7159,0.6619
7,60.8159,59.9933,59.7998,0.7321,0.7232
8,61.1439,61.3624,61.1239,0.6891,0.6765
9,65.0016,63.6605,63.5355,0.7887,0.8035
10,63.9151,64.8181,64.5728,0.8008,0.7902
11,61.5834,64.8449,64.1638,1.2450,1.0830
12,62.7019,65.1468,64.2006,1.3853,1.1235
13,63.0610,65.4313,64.2578,1.4844,1.1293
14,63.9188,65.8369,64.5536,1.5195,1.1014
15,61.4825,65.5150,63.6657,1.7997,1.2041
16,60.2107,64.9251,62.4470,2.1037,1.2930
17,55.9498,63.4593,59.7881,2.7354,1.5621
18,52.1145,61.4057,56.3377,3.4442,1.8153
19,48.1814,58.8685,52.3516,4.1533,2.0093
20,42.5915,55.6127,47.3650,4.9865,2.2304
21,39.2965,52.2184,42.6975,5.6242,2.2997
22,33.8447,48.3047,37.4228,6.3007,2.3728
23,29.3258,44.1308,32.1644,6.8922,2.3949
24,22.3111,39.2907,25.9335,7.5852,2.4584
25,14.9689,33.8277,18.9356,8.3343,2.5360
26,6.5342,27.6434,11.0066,9.1612,2.6369
27,2.2860,21.5550,4.2291,9.7247,2.6145
28,-1.5781,15.6229,-1.5247,10.0876,2.5674
29,-2.3769,10.3489,-5.2641,10.1900,2.5791
30,-3.8309,5.5567,-7.8716,10.1642,2.6408
31,-5.1898,1.2157,-9.6871,10.0649,2.7206
32,-5.3445,-2.5197,-10.5018,9.9190,2.8287
33,-6.4781,-5.8677,-11.0832,9.7681,2.8985
34,-7.6268,-8.8677,-11.5730,9.6258,2.9347
35,-7.2509,-11.3070,-11.4240,9.5120,2.9772
36,-7.6539,-13.3670,-11.2042,9.4272,2.9946
37,-8.9712,-15.2349,-11.3668,9.3557,2.9800
